"year" "tas"
"164" 2019.5 289.927636259373
"165" 2019.58333333333 289.820525726905
"166" 2019.66666666667 289.184879899121
"167" 2019.75 288.185532058048
"168" 2019.83333333333 286.921432538667
"169" 2019.91666666667 286.117645785992
"170" 2020 285.807123682207
"171" 2020.08333333333 286.177717396935
"172" 2020.16666666667 286.870797765932
"173" 2020.25 287.867462849468
"174" 2020.33333333333 289.091139444152
"175" 2020.41666666667 289.840212238765
"176" 2020.5 289.978557684355
"177" 2020.58333333333 289.760574995525
"178" 2020.66666666667 288.991003926553
"179" 2020.75 288.138580669383
"180" 2020.83333333333 287.077331885428
"181" 2020.91666666667 286.162434044124
"182" 2021 285.884314657333
"183" 2021.08333333333 286.086051030221
"184" 2021.16666666667 286.748560823261
"185" 2021.25 288.01894034858
"186" 2021.33333333333 289.145299612719
"187" 2021.41666666667 289.954386153589
"188" 2021.5 290.139060060922
"189" 2021.58333333333 289.88790267663
"190" 2021.66666666667 289.186256872742
"191" 2021.75 288.272859224011
"192" 2021.83333333333 287.053013417732
"193" 2021.91666666667 286.255396595356
"194" 2022 285.872749396315
"195" 2022.08333333333 286.137983750818
"196" 2022.16666666667 286.777785250173
"197" 2022.25 287.788603786853
"198" 2022.33333333333 288.830711428939
"199" 2022.41666666667 289.907961334649
"200" 2022.5 290.041548542337
"201" 2022.58333333333 289.744811818703
"202" 2022.66666666667 289.190920543769
"203" 2022.75 288.104209293639
"204" 2022.83333333333 286.982411323806
"205" 2022.91666666667 286.07371440641
"206" 2023 285.873403260446
"207" 2023.08333333333 286.160116510779
"208" 2023.16666666667 286.8857763752
"209" 2023.25 288.071870263913
"210" 2023.33333333333 289.263192117014
"211" 2023.41666666667 289.981765501307
"212" 2023.5 290.050272728979
"213" 2023.58333333333 289.979381977315
"214" 2023.66666666667 289.36334572893
"215" 2023.75 288.371206766252
"216" 2023.83333333333 287.160987993543
"217" 2023.91666666667 286.203449036311
"218" 2024 285.955966705832
"219" 2024.08333333333 286.082843295803
"220" 2024.16666666667 286.807246166202
"221" 2024.25 287.836434480028
"222" 2024.33333333333 289.029849596489
"223" 2024.41666666667 289.952669285658
"224" 2024.5 290.153843286177
"225" 2024.58333333333 289.915667554747
"226" 2024.66666666667 289.257300916829
"227" 2024.75 288.279604458205
"228" 2024.83333333333 287.142963378631
"229" 2024.91666666667 286.229156649256
"230" 2025 285.801922379005
"231" 2025.08333333333 286.248852019001
"232" 2025.16666666667 286.91899999634
"233" 2025.25 287.915114217448
"234" 2025.33333333333 289.125426549402
"235" 2025.41666666667 289.991651155098
"236" 2025.5 290.207913785821
"237" 2025.58333333333 289.882207061182
"238" 2025.66666666667 289.264721491826
"239" 2025.75 288.326029398909
"240" 2025.83333333333 287.194496164122
"241" 2025.91666666667 286.41950848564
"242" 2026 286.252966894652
"243" 2026.08333333333 286.572999332263
"244" 2026.16666666667 287.295671588921
"245" 2026.25 288.158291158973
"246" 2026.33333333333 289.349292701623
"247" 2026.41666666667 290.057877572651
"248" 2026.5 290.266425217054
"249" 2026.58333333333 290.027400815495
"250" 2026.66666666667 289.584220520693
"251" 2026.75 288.530483005624
"252" 2026.83333333333 287.365567421525
"253" 2026.91666666667 286.507243005681
"254" 2027 286.404793421103
"255" 2027.08333333333 286.668920378839
"256" 2027.16666666667 287.294501876376
"257" 2027.25 288.289269156522
"258" 2027.33333333333 289.355123487817
"259" 2027.41666666667 290.037584906676
"260" 2027.5 290.306935911271
"261" 2027.58333333333 290.060478338288
"262" 2027.66666666667 289.366917595525
"263" 2027.75 288.240114244304
"264" 2027.83333333333 287.070448092151
"265" 2027.91666666667 286.17570601835
"266" 2028 285.890317938942
"267" 2028.08333333333 286.256266304561
"268" 2028.16666666667 287.001396694731
"269" 2028.25 288.059753045178
"270" 2028.33333333333 289.257191650384
"271" 2028.41666666667 290.108205972593
"272" 2028.5 290.368235361838
"273" 2028.58333333333 290.085561386824
"274" 2028.66666666667 289.407311565246
"275" 2028.75 288.481039448184
"276" 2028.83333333333 287.475573480477
"277" 2028.91666666667 286.594819735928
"278" 2029 286.515813418545
"279" 2029.08333333333 286.533342688173
"280" 2029.16666666667 287.203596375772
"281" 2029.25 288.286756869892
"282" 2029.33333333333 289.262581779318
"283" 2029.41666666667 290.067183689787
"284" 2029.5 290.279001626278
"285" 2029.58333333333 289.953289145634
"286" 2029.66666666667 289.386977941694
"287" 2029.75 288.378671750501
"288" 2029.83333333333 287.389338925529
"289" 2029.91666666667 286.596235870233
"290" 2030 286.12722863714
"291" 2030.08333333333 286.37260745181
"292" 2030.16666666667 287.203824663417
"293" 2030.25 288.294725440953
"294" 2030.33333333333 289.176431518459
"295" 2030.41666666667 290.051741291452
"296" 2030.5 290.23610133889
"297" 2030.58333333333 290.05568620817
"298" 2030.66666666667 289.478895185309
"299" 2030.75 288.519499702647
"300" 2030.83333333333 287.438428140426
"301" 2030.91666666667 286.528793962929
"302" 2031 286.211962528345
"303" 2031.08333333333 286.378077087313
"304" 2031.16666666667 287.057902058366
"305" 2031.25 288.079925357514
"306" 2031.33333333333 289.300658013501
"307" 2031.41666666667 290.232115170802
"308" 2031.5 290.36790585038
"309" 2031.58333333333 290.24993557476
"310" 2031.66666666667 289.602218897612
"311" 2031.75 288.716620571168
"312" 2031.83333333333 287.560900797964
