"year" "tas"
"1" 1859.91666666667 284.735619107657
"2" 1860 284.600450587449
"3" 1860.08333333333 284.991482865568
"4" 1860.16666666667 285.769169001927
"5" 1860.25 286.885556956237
"6" 1860.33333333333 288.034930072984
"7" 1860.41666666667 289.030387903794
"8" 1860.5 289.148366398771
"9" 1860.58333333333 288.923491152948
"10" 1860.66666666667 288.037881487484
"11" 1860.75 287.071113861428
"12" 1860.83333333333 285.976452709834
"13" 1860.91666666667 284.982164901467
"14" 1861 284.529773666601
"15" 1861.08333333333 284.836637075082
"16" 1861.16666666667 285.769646535778
"17" 1861.25 286.921538747259
"18" 1861.33333333333 288.168587697574
"19" 1861.41666666667 288.993236546962
"20" 1861.5 289.161391704284
"21" 1861.58333333333 288.942025221761
"22" 1861.66666666667 287.983092464962
"23" 1861.75 287.067473237074
"24" 1861.83333333333 286.061121479649
"25" 1861.91666666667 285.319226382376
"26" 1862 284.944748912664
"27" 1862.08333333333 285.286806186565
"28" 1862.16666666667 286.017686150061
"29" 1862.25 287.101846377099
"30" 1862.33333333333 288.23670791675
"31" 1862.41666666667 288.978976577428
"32" 1862.5 289.236193154229
"33" 1862.58333333333 288.965345822425
"34" 1862.66666666667 288.192664262618
"35" 1862.75 287.018988236565
"36" 1862.83333333333 286.047556017549
"37" 1862.91666666667 284.92735548828
"38" 1863 284.656429920172
"39" 1863.08333333333 284.99494053621
"40" 1863.16666666667 285.747414094826
"41" 1863.25 287.106182800194
"42" 1863.33333333333 287.995605336854
"43" 1863.41666666667 288.880364448129
"44" 1863.5 289.063366294002
"45" 1863.58333333333 288.830129510145
"46" 1863.66666666667 288.117082885743
"47" 1863.75 286.940165897449
"48" 1863.83333333333 285.740304371381
"49" 1863.91666666667 284.78287268635
"50" 1864 284.593559150196
"51" 1864.08333333333 284.748302055438
"52" 1864.16666666667 285.760304382214
"53" 1864.25 286.891570170284
"54" 1864.33333333333 288.060925441582
"55" 1864.41666666667 288.884418289113
"56" 1864.5 289.032096968056
"57" 1864.58333333333 288.80712771544
"58" 1864.66666666667 287.917128933483
"59" 1864.75 286.790711283417
"60" 1864.83333333333 285.589654219916
