"year" "tas"
"1" 1861 284.213628813965
"2" 1861.08333333333 284.567368830116
"3" 1861.16666666667 285.255324415233
"4" 1861.25 286.09409072989
"5" 1861.33333333333 287.021093657135
"6" 1861.41666666667 288.021679670081
"7" 1861.5 288.318308393244
"8" 1861.58333333333 288.133100071706
"9" 1861.66666666667 287.104906754652
"10" 1861.75 285.916051230977
"11" 1861.83333333333 284.812625200766
"12" 1861.91666666667 284.176467559484
"13" 1862 284.256662341044
"14" 1862.08333333333 284.910358003646
"15" 1862.16666666667 284.974647416117
"16" 1862.25 285.717723270163
"17" 1862.33333333333 286.908766883416
"18" 1862.41666666667 287.906220548831
"19" 1862.5 288.369820552351
"20" 1862.58333333333 288.00462665561
"21" 1862.66666666667 287.211196668302
"22" 1862.75 285.773670813639
"23" 1862.83333333333 284.707992784594
"24" 1862.91666666667 284.349112121598
"25" 1863 284.295655853623
"26" 1863.08333333333 284.813113784075
"27" 1863.16666666667 285.287526160888
"28" 1863.25 286.286230409744
"29" 1863.33333333333 287.38040232442
"30" 1863.41666666667 288.245857483883
"31" 1863.5 288.539749650196
"32" 1863.58333333333 288.420236036235
"33" 1863.66666666667 287.484537566953
"34" 1863.75 286.22664976143
"35" 1863.83333333333 284.933157734486
"36" 1863.91666666667 284.573035106401
"37" 1864 284.656043949047
"38" 1864.08333333333 284.932489642952
"39" 1864.16666666667 285.606205305138
"40" 1864.25 286.27479193811
"41" 1864.33333333333 287.286635581745
"42" 1864.41666666667 288.199224977681
"43" 1864.5 288.510883666119
"44" 1864.58333333333 288.06364289732
"45" 1864.66666666667 287.303323711995
"46" 1864.75 285.860478191785
"47" 1864.83333333333 284.799736779488
"48" 1864.91666666667 284.010463211788
"49" 1865 284.284528162535
"50" 1865.08333333333 284.377540577205
"51" 1865.16666666667 285.079815395159
"52" 1865.25 286.057505539236
"53" 1865.33333333333 287.097351077363
"54" 1865.41666666667 288.253978600287
"55" 1865.5 288.577205418665
"56" 1865.58333333333 288.302026933596
"57" 1865.66666666667 287.39493410726
"58" 1865.75 286.280297692087
"59" 1865.83333333333 284.949462752587
"60" 1865.91666666667 284.255214225919
"61" 1866 284.474772863119
"62" 1866.08333333333 284.705319349158
"63" 1866.16666666667 285.34919208834
"64" 1866.25 286.163099172307
"65" 1866.33333333333 287.230487811013
"66" 1866.41666666667 288.565710053695
"67" 1866.5 288.894127653881
"68" 1866.58333333333 288.577925887317
"69" 1866.66666666667 287.638186470372
"70" 1866.75 286.531358315227
"71" 1866.83333333333 285.311641638795
"72" 1866.91666666667 284.403024133577
"73" 1867 284.443368139663
"74" 1867.08333333333 285.037258025996
"75" 1867.16666666667 285.600781147951
"76" 1867.25 286.487047177684
"77" 1867.33333333333 287.602646962946
"78" 1867.41666666667 288.641082101737
"79" 1867.5 288.713973540934
"80" 1867.58333333333 288.312256429028
"81" 1867.66666666667 287.459983599846
"82" 1867.75 286.200681209965
"83" 1867.83333333333 284.831521479726
"84" 1867.91666666667 284.340887162148
"85" 1868 284.253113759516
"86" 1868.08333333333 284.654728176697
"87" 1868.16666666667 285.249906961347
"88" 1868.25 286.019294908334
"89" 1868.33333333333 286.930918572719
"90" 1868.41666666667 288.114968424998
"91" 1868.5 288.439016434779
"92" 1868.58333333333 288.159871183682
"93" 1868.66666666667 287.447039043051
"94" 1868.75 286.05600253765
"95" 1868.83333333333 284.820601510903
"96" 1868.91666666667 283.997577404072
"97" 1869 284.216555074147
"98" 1869.08333333333 284.826645526099
"99" 1869.16666666667 285.404448351151
"100" 1869.25 286.208511985309
"101" 1869.33333333333 287.300544574505
"102" 1869.41666666667 288.479713351842
"103" 1869.5 288.571403961555
"104" 1869.58333333333 288.225540109323
"105" 1869.66666666667 287.411295246722
"106" 1869.75 286.17507087268
"107" 1869.83333333333 285.040376942822
"108" 1869.91666666667 284.100143927785
"109" 1870 284.50050850686
"110" 1870.08333333333 284.903269283323
"111" 1870.16666666667 285.525301532035
"112" 1870.25 286.437560057336
"113" 1870.33333333333 287.549810626746
"114" 1870.41666666667 288.463923046765
"115" 1870.5 288.68284531833
"116" 1870.58333333333 288.431657030798
"117" 1870.66666666667 287.434334871453
"118" 1870.75 286.384073790435
"119" 1870.83333333333 285.257445475803
"120" 1870.91666666667 284.425383462722
"121" 1871 284.617245579893
"122" 1871.08333333333 285.204707182088
"123" 1871.16666666667 285.729764181485
"124" 1871.25 286.484274793498
"125" 1871.33333333333 287.533514478294
"126" 1871.41666666667 288.55318370361
"127" 1871.5 288.908864727798
"128" 1871.58333333333 288.808023840009
"129" 1871.66666666667 287.790304341495
"130" 1871.75 286.59324580161
"131" 1871.83333333333 285.386814276959
"132" 1871.91666666667 284.755696156318
"133" 1872 284.735953850781
"134" 1872.08333333333 285.283744377471
"135" 1872.16666666667 285.819876876309
"136" 1872.25 286.69618716242
"137" 1872.33333333333 287.892103376138
"138" 1872.41666666667 288.888563211921
"139" 1872.5 288.918773634814
