"year" "tas"
"1" 1961 284.913249225286
"2" 1961.08333333333 284.867557268721
"3" 1961.16666666667 285.736005447129
"4" 1961.25 286.735323077517
"5" 1961.33333333333 287.677558128597
"6" 1961.41666666667 288.259220902297
"7" 1961.5 288.651936776351
"8" 1961.58333333333 288.487854103966
"9" 1961.66666666667 287.753514076601
"10" 1961.75 286.690952693461
"11" 1961.83333333333 285.436148681768
"12" 1961.91666666667 284.8555169719
"13" 1962 284.606339099165
"14" 1962.08333333333 284.961157583908
"15" 1962.16666666667 285.649654424191
"16" 1962.25 286.643447702929
"17" 1962.33333333333 287.597293886531
"18" 1962.41666666667 288.315029300414
"19" 1962.5 288.807158420833
"20" 1962.58333333333 288.707347740733
"21" 1962.66666666667 287.838305726034
"22" 1962.75 286.865694057597
"23" 1962.83333333333 285.915378202113
"24" 1962.91666666667 285.177853198455
"25" 1963 284.914932969356
"26" 1963.08333333333 285.144323316919
"27" 1963.16666666667 285.694891922912
"28" 1963.25 287.084881881945
"29" 1963.33333333333 287.974248561495
"30" 1963.41666666667 288.659791323727
"31" 1963.5 288.985293901553
"32" 1963.58333333333 288.645000888447
"33" 1963.66666666667 287.835314818608
"34" 1963.75 286.796202913247
"35" 1963.83333333333 285.740072103097
"36" 1963.91666666667 284.787145322374
"37" 1964 284.675640657774
"38" 1964.08333333333 284.944413242503
"39" 1964.16666666667 285.526481708382
"40" 1964.25 286.598570782235
"41" 1964.33333333333 287.557161855455
"42" 1964.41666666667 288.251780432996
"43" 1964.5 288.625569538581
"44" 1964.58333333333 288.317003092297
"45" 1964.66666666667 287.426516301534
"46" 1964.75 286.617496535449
"47" 1964.83333333333 285.467290955459
"48" 1964.91666666667 284.61296355147
"49" 1965 284.335185352127
"50" 1965.08333333333 284.826035592005
"51" 1965.16666666667 285.684657387873
"52" 1965.25 286.788746762394
"53" 1965.33333333333 287.660870728758
"54" 1965.41666666667 288.244722074802
"55" 1965.5 288.512257009008
"56" 1965.58333333333 288.413752938915
"57" 1965.66666666667 287.558113198908
"58" 1965.75 286.294883938262
"59" 1965.83333333333 285.35749731049
"60" 1965.91666666667 284.655566955102
"61" 1966 284.504599259421
"62" 1966.08333333333 284.820597938187
"63" 1966.16666666667 285.59464951105
"64" 1966.25 286.889568066952
"65" 1966.33333333333 287.658150379916
"66" 1966.41666666667 288.402584742664
"67" 1966.5 288.65162966562
"68" 1966.58333333333 288.266623956905
"69" 1966.66666666667 287.356608620343
"70" 1966.75 286.467208376887
"71" 1966.83333333333 285.392263778928
"72" 1966.91666666667 284.662147706604
"73" 1967 284.250990089599
"74" 1967.08333333333 284.727335459456
"75" 1967.16666666667 285.471880183258
"76" 1967.25 286.49262637154
"77" 1967.33333333333 287.463281079141
"78" 1967.41666666667 288.073885224936
"79" 1967.5 288.560063944497
"80" 1967.58333333333 288.245563668725
"81" 1967.66666666667 287.342307707743
"82" 1967.75 286.344481468143
"83" 1967.83333333333 285.527395369644
"84" 1967.91666666667 284.629358217933
"85" 1968 284.510024015959
"86" 1968.08333333333 284.92662448898
"87" 1968.16666666667 285.643768651871
"88" 1968.25 286.587034811991
"89" 1968.33333333333 287.693420763859
"90" 1968.41666666667 288.34513173597
"91" 1968.5 288.569666867029
"92" 1968.58333333333 288.444771546486
"93" 1968.66666666667 287.657609623715
"94" 1968.75 286.491129764347
"95" 1968.83333333333 285.403891043164
"96" 1968.91666666667 284.723894998001
"97" 1969 284.278530223745
"98" 1969.08333333333 284.698000207415
"99" 1969.16666666667 285.358300696276
"100" 1969.25 286.627569061655
"101" 1969.33333333333 287.678314203737
"102" 1969.41666666667 288.463230774832
"103" 1969.5 288.687063062601
"104" 1969.58333333333 288.632417342446
"105" 1969.66666666667 287.495970018294
"106" 1969.75 286.578906981751
"107" 1969.83333333333 285.455451425252
"108" 1969.91666666667 284.685360959063
"109" 1970 284.703016312095
"110" 1970.08333333333 285.000078322136
"111" 1970.16666666667 285.540324595658
"112" 1970.25 286.571640458055
"113" 1970.33333333333 287.768186422397
"114" 1970.41666666667 288.463607346473
"115" 1970.5 288.702838649335
"116" 1970.58333333333 288.538363410306
"117" 1970.66666666667 287.674286141315
"118" 1970.75 286.515424192167
"119" 1970.83333333333 285.503673926006
"120" 1970.91666666667 284.933675348195
"121" 1971 284.604047250702
"122" 1971.08333333333 284.762838940154
"123" 1971.16666666667 285.517538516603
"124" 1971.25 286.766704497012
"125" 1971.33333333333 287.672252031456
"126" 1971.41666666667 288.563078313106
"127" 1971.5 288.839824186291
"128" 1971.58333333333 288.536464132137
"129" 1971.66666666667 287.627067130395
"130" 1971.75 286.623115740615
"131" 1971.83333333333 285.635172045559
"132" 1971.91666666667 285.18473008335
"133" 1972 284.747908207478
"134" 1972.08333333333 285.198364614932
"135" 1972.16666666667 285.724954147442
"136" 1972.25 286.973235168792
"137" 1972.33333333333 287.853432967426
"138" 1972.41666666667 288.489987761368
"139" 1972.5 288.627859326083
"140" 1972.58333333333 288.591378158007
"141" 1972.66666666667 287.441535938932
"142" 1972.75 286.242765157576
"143" 1972.83333333333 285.46930867972
"144" 1972.91666666667 284.66999487907
"145" 1973 284.327668182488
"146" 1973.08333333333 284.565381888055
"147" 1973.16666666667 285.465505351815
"148" 1973.25 286.499931923202
"149" 1973.33333333333 287.403754915628
"150" 1973.41666666667 288.21736239621
"151" 1973.5 288.478640048159
"152" 1973.58333333333 288.334988158483
"153" 1973.66666666667 287.600854001102
"154" 1973.75 286.529405055178
"155" 1973.83333333333 285.57141264547
"156" 1973.91666666667 285.01781007106
