"year" "tas"
"1" 1850 284.839495233007
"2" 1850.08333333333 285.215031232076
"3" 1850.16666666667 286.147076447042
"4" 1850.25 286.859024098157
"5" 1850.33333333333 287.661781387372
"6" 1850.41666666667 288.518235519022
"7" 1850.5 288.912204274406
"8" 1850.58333333333 288.518188581494
"9" 1850.66666666667 287.528186855169
"10" 1850.75 286.46469198706
"11" 1850.83333333333 285.394166831626
"12" 1850.91666666667 284.906647512205
"13" 1851 284.591651423418
"14" 1851.08333333333 285.051927042296
"15" 1851.16666666667 285.84217995514
"16" 1851.25 286.969790792283
"17" 1851.33333333333 287.649665038345
"18" 1851.41666666667 288.67385555685
"19" 1851.5 288.941628233939
"20" 1851.58333333333 288.497533907286
"21" 1851.66666666667 287.74735768339
"22" 1851.75 286.452804241189
"23" 1851.83333333333 285.02644457862
"24" 1851.91666666667 284.760788571194
"25" 1852 284.942668151831
"26" 1852.08333333333 285.248620743049
"27" 1852.16666666667 285.771473957607
"28" 1852.25 286.788988058416
"29" 1852.33333333333 287.660511931822
"30" 1852.41666666667 288.468842677648
"31" 1852.5 288.925378776638
"32" 1852.58333333333 288.461555194774
"33" 1852.66666666667 287.557044127011
"34" 1852.75 286.383534990685
"35" 1852.83333333333 285.200022637892
"36" 1852.91666666667 284.794671599735
"37" 1853 284.96257795362
"38" 1853.08333333333 285.382558161702
"39" 1853.16666666667 285.853893717586
"40" 1853.25 286.874218256794
"41" 1853.33333333333 287.654846596639
"42" 1853.41666666667 288.577458133206
"43" 1853.5 288.971748082563
"44" 1853.58333333333 288.726300015152
"45" 1853.66666666667 287.750604615816
"46" 1853.75 286.357330005289
"47" 1853.83333333333 285.373360454077
"48" 1853.91666666667 284.86068228742
"49" 1854 284.791636630024
"50" 1854.08333333333 285.228491764241
"51" 1854.16666666667 285.829577831296
"52" 1854.25 286.749741505901
"53" 1854.33333333333 287.52494211265
"54" 1854.41666666667 288.407404661817
"55" 1854.5 288.778541582316
"56" 1854.58333333333 288.517542903032
"57" 1854.66666666667 287.558191528928
"58" 1854.75 286.3194052232
"59" 1854.83333333333 285.221322790043
"60" 1854.91666666667 284.811835553512
"61" 1855 284.699709252115
"62" 1855.08333333333 285.106344942772
"63" 1855.16666666667 285.786538267201
"64" 1855.25 286.68171790982
"65" 1855.33333333333 287.765661740904
